date	link	text
2018-05-22 10:56	https://newyork.craigslist.org/brk/egr/d/mechanical-design-engineer/6595891455.html	Mechanical Design Engineer
2018-05-22 10:02	https://newyork.craigslist.org/wch/egr/d/academic-tutors-starting-at/6595835817.html	Academic Tutors ( Starting at $75 per hour )
2018-05-22 08:53	https://newyork.craigslist.org/brk/egr/d/core-shell-superintendent/6595779251.html	Core + Shell Superintendent
2018-05-21 17:08	https://newyork.craigslist.org/mnh/egr/d/junior-architect-summer/6595351706.html	Junior Architect SUMMER INTERSHIP
2018-05-21 15:15	https://newyork.craigslist.org/wch/egr/d/landscape-designer-project/6595224456.html	Landscape Designer/Project Manager
2018-05-21 14:40	https://newyork.craigslist.org/brk/egr/d/job-vacancy-lighting-design/6595183057.html	Job Vacancy: Lighting Design Intern
2018-05-21 13:42	https://newyork.craigslist.org/mnh/egr/d/architects-residential/6595110285.html	Architects - Residential Experience
2018-05-21 13:37	https://newyork.craigslist.org/mnh/egr/d/draftsperson-junior-architect/6595103650.html	Draftsperson-Junior Architect (New York)
2018-05-21 10:51	https://newyork.craigslist.org/brk/egr/d/assistant-project-manager/6594896933.html	Assistant Project Manager
2018-05-21 09:22	https://newyork.craigslist.org/que/egr/d/construction-site/6594808778.html	Construction Site Superintendent for New Construction Project
2018-05-20 17:57	https://newyork.craigslist.org/mnh/egr/d/may-june-junior-designers/6594450476.html	MAY-JUNE: JUNIOR DESIGNERS/ INTERIOR DESIGNERS/ ARCHITECTS/ PA'S/ PM'S
2018-05-20 16:42	https://newyork.craigslist.org/mnh/egr/d/senior-designer-architect/6594389193.html	SENIOR DESIGNER / ARCHITECT
2018-05-20 16:15	https://newyork.craigslist.org/mnh/egr/d/archtiect-3-5-years-experience/6594365244.html	Archtiect 3-5 years Experience
2018-05-20 13:26	https://newyork.craigslist.org/que/egr/d/experienced-nyc-dob-drafter/6594209192.html	EXPERIENCED NYC DOB DRAFTER
2018-05-20 07:44	https://newyork.craigslist.org/mnh/egr/d/freelance-expeditor-needed/6593977292.html	Freelance Expeditor Needed
2018-05-18 19:20	https://newyork.craigslist.org/wch/egr/d/full-time-insurance/6592897396.html	FULL TIME INSURANCE/CONSTRUCTION ESTIMATING POSITION
2018-05-18 17:42	https://newyork.craigslist.org/mnh/egr/d/intern-position-in/6592810439.html	Intern Position in Architecture and Design Company
2018-05-18 16:34	https://newyork.craigslist.org/mnh/egr/d/autocad-drafter/6592739581.html	AutoCAD Drafter
2018-05-18 15:16	https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6592652861.html	Facade / Building Envelope Engineer or Architect
2018-05-18 15:15	https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6592651293.html	Facade / Building Envelope Project Architect or Engineer
2018-05-18 14:47	https://newyork.craigslist.org/mnh/egr/d/free-career-fair-job-fair/6592618139.html	FREE Career Fair/Job Fair ~ 100's of Jobs ~ 25+ Employers
2018-05-18 14:41	https://newyork.craigslist.org/jsy/egr/d/electrical-engineer/6592611585.html	Electrical Engineer
2018-05-18 13:29	https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6592523533.html	Electrical Engineer
2018-05-18 12:52	https://newyork.craigslist.org/mnh/egr/d/intermediate-and-junior/6592477769.html	Intermediate and Junior Architects
